City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
74,brookings,44.3114,-96.7984,17.25,78,0,1.54,Brookings,1688652964
75,hassi messaoud,31.6804,6.0729,45.92,8,0,4.12,Hassi Messaoud,1688652964
76,thinadhoo,0.5333,72.9333,28.58,76,100,4.0,Thinadhoo,1688652750
77,muktagacha,24.7667,90.2333,27.59,89,99,5.43,Muktāgācha,1688652702
78,dikhil,11.5,42.1667,39.32,14,70,5.04,Dikhil Region,1688652965
79,ushuaia,-54.8,-68.3,2.79,75,40,9.77,Ushuaia,1688652768
80,hamilton,39.1834,-84.5333,27.63,82,40,5.14,Hamilton,1688652700
81,chirilagua,13.2203,-88.1386,27.86,60,35,0.66,Chirilagua,1688652965
82,dunedin,-45.8742,170.5036,7.11,76,40,4.02,Dunedin,1688652922
83,jamestown,42.097,-79.2353,28.77,69,0,2.06,Jamestown,1688652966
84,carnarvon,-24.8667,113.6333,16.92,69,0,6.96,Carnarvon,1688652966
85,albany,42.6001,-73.9662,30.44,74,2,0.45,Albany,1688652966
86,grand gaube,-20.0064,57.6608,23.22,72,29,0.89,Grand Gaube,1688652967
87,mount gambier,-37.8333,140.7667,10.67,86,96,5.9,Mount Gambier,1688652967
88,crane,31.3974,-102.3501,26.21,67,0,7.42,Crane,1688652967
89,pacific grove,36.6177,-121.9166,13.93,87,100,3.09,Pacific Grove,1688652968
90,fianarantsoa,-21.4333,47.0833,15.72,68,25,4.36,Fianarantsoa,1688652821
91,chibougamau,49.9168,-74.3659,23.79,69,75,3.6,Chibougamau,1688652969
92,qaqortoq,60.7167,-46.0333,8.99,71,96,1.86,Qaqortoq,1688652969
93,san antonio oeste,-40.7319,-64.9477,9.63,39,0,3.46,San Antonio Oeste,1688652969
94,alta,69.9689,23.2717,13.59,62,40,7.2,Alta,1688652970
95,aykhal,66.0,111.5,19.65,54,100,5.04,Aykhal,1688652897
96,rio grande,-32.035,-52.0986,19.06,81,96,2.29,Rio Grande,1688652970
97,happy valley-goose bay,53.3168,-60.3315,14.17,94,100,3.09,Happy Valley-Goose Bay,1688652970
98,coquimbo,-29.9533,-71.3436,12.85,66,0,2.57,Coquimbo,1688652971
99,puerto ayora,-0.7393,-90.3518,26.98,99,91,0.45,Puerto Ayora,1688652971
100,bredasdorp,-34.5322,20.0403,18.46,62,100,1.93,Bredasdorp,1688652971
101,daru,-9.0763,143.2092,25.7,91,100,7.36,Daru,1688652971
102,cabo san lucas,22.8909,-109.9124,28.67,66,0,4.49,Cabo San Lucas,1688652972
103,fale old settlement,-9.3852,-171.2468,28.28,75,51,7.28,Fale old settlement,1688652972
104,port elizabeth,-33.918,25.5701,22.28,49,0,5.14,Port Elizabeth,1688652972
105,tura,25.5198,90.2201,24.63,95,100,3.21,Tura,1688652972
106,port lincoln,-34.7333,135.8667,12.7,62,43,7.85,Port Lincoln,1688652973
107,port saint john's,-31.6229,29.5448,19.61,56,4,5.78,Port Saint John's,1688652973
108,milazzo,38.2212,15.2383,30.96,62,0,3.58,Milazzo,1688652973
109,ust-nera,64.5667,143.2,15.73,48,56,2.32,Ust-Nera,1688652973
110,enewetak,11.3474,162.3373,27.86,80,100,8.7,Enewetak,1688652974
111,kodinsk,58.6881,99.1844,20.15,68,14,0.92,Kodinsk,1688652974
112,la ronge,55.1001,-105.2842,14.14,82,75,4.63,La Ronge,1688652974
113,west island,-12.1568,96.8225,24.99,88,75,6.69,West Island,1688652975
114,maych'ew,12.7875,39.5422,23.26,34,95,4.92,Maych’ew,1688652957
115,namibe,-15.1961,12.1522,23.0,70,4,4.99,Mossamedes,1688652975
116,harstad,68.799,16.5293,16.25,99,98,3.58,Harstad,1688652975
117,kodiak,57.79,-152.4072,9.73,93,100,3.09,Saint Paul Harbor,1688652976
118,taltal,-25.4,-70.4833,18.8,57,12,2.34,Taltal,1688652976
119,rongelap,11.1635,166.8941,27.99,79,100,9.44,Rongelap,1688652976
120,olonkinbyen,70.9221,-8.7187,5.8,93,100,0.9,Olonkinbyen,1688652976
121,invercargill,-46.4,168.35,0.01,99,94,0.89,Invercargill,1688652678
122,saint-philippe,-21.3585,55.7679,23.77,79,49,3.07,Saint-Philippe,1688652977
123,gobabis,-22.45,18.9667,22.82,12,0,6.86,Gobabis,1688652978
124,howard springs,-12.497,131.047,24.95,94,0,1.29,Howard Springs,1688652978
125,boradigah,38.9339,48.7038,29.02,33,3,4.66,Boradigah,1688652978
126,dergachi,51.2328,48.7659,31.95,29,19,3.45,Dergachi,1688652979
127,maxixe,-23.8597,35.3472,22.26,58,44,4.12,Maxixe,1688652980
128,arevalo,41.0626,-4.7204,28.5,18,2,4.3,Arévalo,1688652981
129,salinopolis,-0.6136,-47.3561,28.81,68,45,5.06,Salinópolis,1688652982
130,la passe,45.5549,-0.8967,27.13,47,0,3.58,La Passe,1688652982
131,whitehorse,60.7161,-135.0538,12.43,71,20,0.0,Whitehorse,1688652987
132,itacare,-14.2775,-38.9967,23.01,78,62,3.86,Itacaré,1688652992
133,longyearbyen,78.2186,15.6401,16.91,39,0,6.69,Longyearbyen,1688652993
134,riohacha,11.5444,-72.9072,30.16,62,100,7.49,Riohacha,1688652888
135,khandyga,62.6667,135.6,16.88,58,0,1.51,Khandyga,1688652994
